Protein.Ids	-Log(P-value)	Difference
Q9CWS7	0.5338673130284941	-0.457699457804363
D3Z1S8	0.645734730503803	0.596518834431965
D3YYT1	0.7035886754468919	0.412504196166992
D3YYU8	0.7648708185505226	-0.0844662984212228
D3YYY8	0.7166181737070749	-1.62740198771159
D3YZP9	0.6647003716427344	0.334775924682617
D3YZU1	0.6096665891916834	-0.784071604410808
E9Q7G1	0.907104723935112	0.171107610066731
D3Z0M9	0.6422130445633646	0.215916315714519
D3Z286	0.9955359979051098	-0.00375684102376184
D3Z2Q6	0.7961536639481928	-0.228476206461586
D3YTQ6	0.7768925192645209	-1.0653174718221
D3Z4S3	0.9285681028066994	-0.149198532104492
D3Z5I1	0.9600084186084845	0.26060676574707
P0DMN7	0.4577790064520468	-1.50026003519694
D3Z6I8	0.7013809051139578	0.169556299845379
D3Z6P9	0.7149085914376955	-1.40067609151204
D3Z6Q9	0.9380108344524841	-0.0354868570963518
D3Z7P3	0.9985550973432472	0.00260798136393348
Q9CWU4	0.5848771373271922	2.23245080312093
Q922R1	0.8813724846781933	-0.162683486938477
D6RE34	0.7664829839057623	-0.977271397908531
D6RFU9	0.4840334093840674	-2.12779076894124
E0CXE7	0.7857908146305848	-0.857821782430015
F7C1U0	0.748341003030823	-1.41454887390137
D3Z624	0.5996551651007143	-1.50590070088704
E2JF22	0.6038396371183333	-0.831680933634441
E9PUA5	0.6024763053244323	0.851823806762695
A0A1D5RLX6	0.9972967447942908	0.0140813191731759
F6ZHN3	0.7135550641992413	1.08921432495117
F7DE17	0.6652872388890868	0.237490336100262
E9PY28	0.7079917544855018	-1.16045602162679
G3X914	0.7395330518185848	-1.04302151997884
E9PV87	0.6241607054597829	-0.672927856445313
E9PVA8	0.77851423900769	-0.271316528320313
E9Q175	0.781601303048197	-0.897471110026043
E9PVX6	0.6686795725483421	0.516291936238606
E9QAH1	0.7348942492480227	-0.91645622253418
E9PWG6	0.8414779127200344	0.122031529744469
G3UW40	0.6187513057739754	-1.0038948059082
E9PWS4	0.6493973127178269	-0.728464762369793
E9PWW9	0.7350504155090927	0.696992238362629
E9PZY4	0.5908672113269127	-1.63669045766195
E9PY16	0.9252775209226445	-0.266209920247395
E9PY43	0.8328002838329508	0.162503560384113
E9PY46	0.5830197212531001	-1.06192715962728
H3BKH2	0.9663273803106818	-0.129987080891929
E9PYD1	0.8563227699556761	-0.0726795196533203
F6TFN2	0.5670073236332808	0.554009119669598
E9PYG6	0.7051178166407205	-0.271560668945313
E9PYH6	0.713904937177076	0.156050364176433
E9PYI1	0.9481405482845154	-0.113364537556969
E9PYL2	0.44413722454871096	-0.325993220011394
F8VQK6	0.7427725811181443	-0.331831614176433
E9Q5H2	0.924800157003043	0.176349004109703
E9PZJ8	0.8800752574150413	0.203779220581055
E9PZM4	0.7964359140535758	-0.609623591105144
E9PZP6	0.5932333577576762	-1.7617712020874
E9PZP8	0.7225677564763517	-0.373275121053059
E9Q0F0	0.9952485331960967	-0.0332730611165353
E9Q137	0.9791675617978485	-0.0238780975341797
E9Q166	0.7510972705052968	-0.190607706705727
E9Q1P8	0.6125283123825226	-0.151645660400391
E9Q1W7	0.9130506090569978	0.455942789713543
E9Q467	0.7252330051948667	0.38537089029948
E9Q238	0.8765944812837484	-0.65288480122884
E9Q286	0.5504157877945365	-0.34571139017741
E9Q289	0.7833976483515835	-0.49809964497884
E9Q2C0	0.9441921798066473	0.279921213785808
E9Q2E4	0.7235497439773559	-0.471043904622395
